Candy	Costume	Decorations	GlowStick	Cookies	Pumpkin
3208.63	4318.51	2739.35	853.41	4232.42	1974.23
4994.08	6203.88	3325.69	1114.47	3684.98	3834.30
5102.14	4604.13	2773.87	725.94	3378.60	2818.22
2979.45	4476.37	2972.68	1183.81	3238.33	1771.11
4830.74	4224.13	2585.14	594.24	4979.01	3201.03
4974.81	4728.35	3322.54	981.47	2471.03	3307.52
3405.91	3314.78	2931.16	1225.08	2573.76	1986.08
2627.20	2804.73	2382.89	1021.55	5154.11	3782.55
4641.26	5329.08	2930.73	1364.92	2078.59	2676.80
4843.36	5419.79	3360.37	677.82	2044.25	2097.47
3967.13	4282.75	2916.05	1112.99	4928.66	3473.47
2847.70	3877.32	2640.63	739.18	4425.64	3394.18
3223.31	3385.60	3506.94	1384.61	3724.19	3791.43
3114.61	3258.04	3435.68	669.47	1303.09	3198.32
3871.61	2289.29	2728.26	661.42	5272.98	3519.29
3970.65	4077.97	2977.11	615.84	2333.04	3696.69
3322.68	2707.37	3110.11	1480.39	3537.02	3166.86
5505.71	4027.05	3080.06	1358.15	3080.69	3273.45
4870.64	4329.54	3115.63	656.40	4869.76	3587.66
3776.13	3557.17	3415.46	1077.78	3778.35	2480.22
4216.29	5474.53	2338.64	432.77	5477.31	3039.06
3545.07	4194.90	2116.65	817.57	3555.40	3593.52
4507.50	5406.14	3313.50	915.19	5190.80	3016.83
4087.15	4730.13	2633.11	595.85	2221.73	2073.58
4564.01	4364.75	2897.57	886.57	1669.35	2452.96
3210.92	3516.48	2993.19	618.66	3579.89	2406.68
3993.09	4761.93	2969.55	1379.32	4470.78	3610.47
4913.56	5338.33	2720.62	1605.30	3170.24	3161.81
3681.60	3789.24	2589.24	1060.49	4875.88	2901.67
4089.84	2703.61	2910.63	1610.04	3863.08	3657.96
5602.57	5373.13	3504.92	875.50	4971.39	4057.86
4898.89	2992.84	2860.79	847.18	4711.23	4468.93
4632.30	4072.83	3018.65	1389.19	3971.87	4247.29
3939.05	5562.60	3123.70	836.66	4267.77	3083.52
3337.75	3126.98	2181.62	1162.80	4686.79	4178.82
5586.28	4868.19	3504.06	965.65	2200.56	2931.41
3044.83	4983.09	3458.07	1147.45	3209.56	3249.98
3364.63	3313.33	3182.40	645.35	2453.90	3373.78
3657.88	4766.57	2663.63	677.02	3807.26	2614.61
3793.79	3073.56	3137.28	1116.78	4190.60	2411.52
3063.72	3378.72	3077.94	841.24	7204.99	2427.14
3713.62	4034.89	2907.93	388.55	2861.80	2713.55
4136.55	3162.50	2903.00	369.24	2541.29	2436.61
4446.29	3773.98	2721.84	1492.60	4163.99	2861.32
4188.06	4520.47	2909.26	1013.28	5015.05	3590.07
3579.50	4007.62	2547.18	959.00	3002.95	3140.95
4551.69	5175.12	2431.40	1184.90	4382.77	3281.05
3448.08	4639.02	2593.90	702.31	3820.15	2869.08
4808.26	4067.51	2867.46	462.41	3193.25	3026.05
4164.72	4678.94	2452.55	839.06	4570.58	2674.31
4040.38	4671.18	3355.87	1261.17	5855.06	2909.18
5190.99	5608.73	3539.63	1515.62	3908.24	3678.21
4212.75	4589.79	3162.13	824.19	3446.14	931.45
3271.19	4408.68	2978.42	831.23	4644.66	3248.51
3736.54	3237.99	3726.51	1188.94	1817.70	2333.88
3733.80	5306.65	3151.92	869.86	4478.92	2852.14
3156.87	4109.17	2391.41	982.03	3058.61	3148.67
3162.60	4155.52	2354.83	1036.02	3639.95	3301.20
3371.58	3411.01	2808.41	535.08	3513.67	2838.84
4254.63	5239.88	2923.51	711.29	3460.88	2831.14
4362.91	4453.81	3259.41	565.54	4105.45	2513.16
4201.93	3567.56	2900.80	1022.55	4860.47	4224.72
2997.02	4333.61	2057.47	1352.63	4868.71	2888.35
3441.48	5426.34	2931.64	1055.85	3806.91	2153.76
4634.33	4065.42	3340.89	1842.74	2700.53	3112.05
4226.55	4701.71	2737.39	681.60	3481.62	3589.17
5671.76	4176.80	3458.23	844.01	3532.24	2904.92
4079.21	4997.53	2571.03	983.66	2067.01	3319.56
3767.57	3570.20	2327.97	1055.40	4611.28	3256.58
5077.90	3907.74	3318.70	1447.97	5680.67	4024.36
3579.93	3270.80	2986.85	923.98	3201.35	3221.14
3735.32	3743.17	3466.51	677.86	3154.83	2258.32
3717.12	3985.21	3477.80	1027.27	4335.23	2644.29
4202.05	4397.92	3134.29	1056.59	4487.55	2408.78
3907.11	4141.41	3303.08	734.98	4408.87	2422.94
3919.91	2773.58	3178.01	833.15	2720.25	4653.11
5066.40	5010.96	2851.87	1295.24	4857.38	3229.55
3930.94	3740.41	3731.78	757.35	3922.97	2860.61
3448.11	3106.66	2372.80	776.57	2482.15	2750.90
2792.14	4178.94	2566.60	1287.82	5293.49	2555.60
2410.96	3077.58	2833.01	458.87	4320.12	2948.51
4204.78	3943.38	2219.44	1327.48	5937.52	2746.87
4606.36	3269.56	3521.65	1831.05	4627.55	3337.15
4788.31	5730.89	3688.42	1038.18	6025.09	3513.94
4099.39	4756.99	2857.08	935.79	3506.81	2715.85
3158.46	2206.13	2426.14	1183.92	5024.57	2707.92
3008.75	5128.48	2179.24	996.79	4753.59	2677.83
3541.61	4042.93	1978.81	987.64	3235.51	1938.73
4861.76	2774.06	3279.17	486.74	4919.56	3623.71
4304.77	4572.40	2636.63	1106.19	4573.40	2815.11
4428.46	4263.21	3683.78	1101.76	3092.60	4242.02
4545.46	4757.37	2541.99	1083.71	3685.84	2631.27
4833.81	4897.05	2630.99	1319.87	2803.69	3080.78
4902.25	4061.66	2422.14	686.48	4069.93	3668.44
4532.25	4491.21	3107.73	1063.55	4955.64	2280.08
4423.21	4367.84	3321.91	1747.95	2685.30	3030.69
4872.71	3541.10	2820.50	1014.50	4776.41	4044.20
5600.37	4048.40	2804.84	957.88	3897.79	3145.31
4050.54	3828.04	3360.26	975.35	7236.08	3090.38
5443.79	5193.42	3448.90	1114.47	3170.05	2731.44
4473.87	3601.59	3353.62	387.82	2890.67	3467.57
5540.87	3742.47	3814.37	715.31	6065.40	4094.48
3980.74	3126.01	3740.37	404.31	1996.54	1254.14
3997.75	5290.98	3008.81	620.42	3273.31	3410.73
5793.73	4456.20	3328.20	791.55	5321.74	4883.51
3683.33	3796.71	3036.37	752.30	5162.76	2499.98
5022.01	4060.00	3221.90	862.51	1622.83	4323.09
3390.12	3181.17	3371.73	843.75	4671.55	2132.46
3659.70	4341.40	3774.35	1200.14	3027.53	2281.84
3749.65	4157.97	2807.97	917.16	4546.01	2655.01
3869.77	5412.90	2821.07	1284.60	3219.56	2539.95
2799.35	2290.04	2674.38	928.49	5098.97	3525.16
4567.70	4546.75	2781.60	713.91	3641.61	3406.79
3024.26	3585.65	3320.43	991.89	2771.55	2821.57
4936.39	4422.64	3254.90	659.50	4421.76	2674.69
2969.14	3185.22	2780.22	1276.64	4815.55	3008.72
4772.64	5756.45	3860.14	505.98	3890.48	3707.62
4148.88	3958.51	3111.48	946.40	4336.39	3271.02
5090.78	4964.37	3392.13	1224.64	4859.78	2615.95
4602.37	3700.01	2746.70	836.86	1880.91	2910.78
5417.41	4569.30	3240.31	1090.50	2470.96	3035.63
3075.44	3830.53	2863.80	142.79	4424.38	3298.36
3039.91	2825.65	2859.50	642.43	6327.47	3703.87
4196.97	4722.87	2901.88	1238.76	2692.79	2852.22
3634.19	4327.85	2423.77	809.64	5901.20	3259.48
4867.93	5510.49	2826.40	1219.44	2652.67	3391.86
4148.19	4291.07	2258.55	923.23	5991.93	2181.49
5313.33	4465.94	3642.57	570.44	1286.23	3738.77
2737.01	3098.97	3349.98	1394.00	2928.34	2447.06
3911.14	4582.56	3309.89	1269.02	3951.52	3029.55
2551.48	2861.33	2711.93	1164.43	4461.88	3315.89
4572.10	4737.97	3359.96	628.76	4785.09	3181.53
3713.07	5713.05	3342.27	1090.92	6241.92	2279.84
4799.89	5261.26	2687.42	819.17	3560.80	2919.40
3554.33	4538.38	3059.13	784.89	1213.27	2440.58
4017.87	4922.45	3494.33	1193.72	2424.88	4225.89
4172.37	4245.19	2868.10	611.96	3623.10	1736.40
3812.51	3363.24	2640.56	917.19	3735.43	2349.09
4642.06	3988.87	3486.06	870.17	3501.97	2448.48
3698.49	5195.03	3313.61	663.04	4801.33	2343.42
3646.56	2166.97	3804.87	1435.59	6123.76	3398.27
2928.61	3015.73	2836.63	481.36	5023.95	3857.13
4921.54	5323.93	3123.26	731.95	2248.77	3720.01
3371.91	3805.98	3310.06	933.39	8490.48	2753.82
3662.95	3259.78	2705.01	1111.71	3131.44	1770.01
3607.82	4747.97	3206.87	825.16	5425.37	2841.49
4950.64	2726.58	3277.96	1150.03	5801.32	3699.88
3720.19	5289.74	3863.22	770.15	3397.62	2937.43
3642.90	3268.24	2327.32	982.78	5581.13	2283.19
2885.17	4175.11	2600.93	1469.44	3070.70	1931.66
4015.67	4282.76	2936.95	727.31	3924.40	3540.34
3628.69	4802.07	3007.68	739.85	3265.32	1739.95
4121.61	3710.55	2906.90	1617.10	3239.97	3324.94
5093.09	5567.69	3327.51	1022.94	4102.07	2838.55
4118.92	5131.02	2396.41	578.42	4370.81	2825.84
2793.86	3778.04	2877.15	1356.62	3094.67	3855.78
3877.40	4386.68	2717.91	622.98	2034.24	3257.78
3648.72	4469.79	3705.91	702.00	2531.17	2131.63
4335.79	4141.46	2167.96	825.96	5381.50	3162.10
4281.03	3058.99	2074.33	1507.40	4966.27	4331.94
5410.62	5376.14	3002.12	1355.54	3313.95	3573.09
4652.59	3000.03	2867.22	844.93	4818.22	2627.08
4276.68	4535.49	2701.60	923.27	5564.99	1676.59
4102.27	4156.53	3036.70	626.99	4221.54	3360.38
3431.34	2112.05	2921.23	473.84	3121.40	2740.41
3715.13	4374.06	2867.75	819.84	5304.24	3089.92
5032.94	4692.94	3756.92	772.31	3022.26	3671.78
3401.46	3519.08	2955.55	828.28	4297.83	2988.40
3654.56	3899.05	3265.92	1206.57	4127.88	1733.79
3552.23	5598.76	3179.32	655.25	3910.92	2824.80
3875.84	3141.45	3495.69	1387.22	4069.88	3287.24
4650.76	3259.22	3610.53	1063.81	3452.73	2758.35
3477.96	4001.61	2861.55	1395.02	4281.13	3194.82
4069.44	4454.28	3427.41	627.85	3632.77	3576.63
4009.38	3965.98	2680.60	1169.58	3830.67	3449.99
3889.90	4120.07	2693.04	1168.79	3850.05	3795.65
4321.28	3944.94	3261.17	735.67	4124.30	3946.49
3974.55	3305.94	2837.97	1394.56	2884.14	2748.11
5086.65	5027.92	3129.66	1234.60	4696.62	3487.85
3289.32	3553.55	3213.79	1746.82	4717.35	2347.62
3698.26	3850.50	2846.45	687.19	3587.46	3660.14
3492.01	2780.44	2435.37	1030.65	3690.12	3495.30
3730.13	2407.55	2997.85	763.99	3095.75	2708.60
4184.08	3419.74	2480.38	788.31	5864.17	4522.25
4488.10	3484.33	3222.16	335.04	3464.55	3479.42
3200.74	3966.04	2665.33	408.73	3053.16	2817.26
4033.26	2927.61	3210.87	976.99	5144.70	3701.45
3254.15	3211.96	2710.60	1068.91	2496.09	2008.20
4067.15	4071.95	2761.59	1046.15	3767.06	3775.37
4351.27	3812.43	3359.75	1077.39	4546.64	3157.42
4585.35	3669.21	2784.82	947.49	5397.05	2963.95
3468.83	4545.02	3118.57	1233.29	4910.38	2674.05
3099.69	2937.63	3542.14	1470.61	5116.37	2733.72
3504.72	5148.62	2711.30	447.86	3886.93	2720.11
3645.64	3537.65	3390.02	1349.59	3237.20	3217.31
4269.64	2095.24	2325.57	1241.92	4245.49	3671.64
2906.90	3400.20	2707.14	1440.25	3183.18	2928.54
4855.36	3959.40	3107.74	1143.91	2608.08	3947.72
4203.61	3276.53	2724.32	1062.66	3107.68	3499.16
5839.74	5181.07	3736.95	1137.79	2692.71	3177.19
4615.03	3575.86	2433.17	778.35	4298.61	4144.88
3517.22	3841.38	3079.55	1195.00	3012.91	2834.13
5758.32	5062.21	2702.71	1112.40	4488.37	4179.54
3109.14	3469.94	2920.99	1313.21	2189.93	3019.89
3287.01	3388.79	3162.82	1107.13	5455.44	2363.39
4500.93	3612.82	2969.97	923.79	3097.00	3476.53
3155.30	3371.65	3115.94	807.71	4585.05	3488.11
3615.42	3536.84	3350.25	806.60	5198.79	2056.15
3947.96	5304.03	3489.42	615.98	3428.53	3059.72
2939.50	2372.44	3698.95	527.01	3016.58	1401.29
